,text,class
550,Starfish have no brains.,fact
551,Polar bears can eat as many as 86 penguins in one sitting.,fact
552,The praying mantis is the only insect that can turn its head 360 degrees.,fact
553,A giraffe can go without water longer than a camel.,fact
554,The only animal with four knees is the elephant.,fact
555,The flea can jump 350 times its body length. That's like a human jumping the length of a football field.,fact
556,"The world’s smallest mammal is the bumblebee bat of Thailand, weighing less than a penny.",fact
557,The world record for the largest pineapple ever grown is 8.25 pounds.,fact
558,Sharks are the only known species to never get sick. They are immune to every known disease.,fact
559,Only 5 to 10 percent of cheetah cubs make it to adulthood.,fact
560,"The swan has over 25,000 feathers on its body.",fact
561,The male goat is called a “buck” or “billy.”,fact
562,"Elephants, horses, and camels all walk on their toes.",fact
563,A group of butterflies is called a flutter.,fact
564,"It takes 3,000 cows to supply the NFL with enough leather for a year's supply of footballs.",fact
565,Humpback whales create the loudest sound of any living creature.,fact
566,"A group of jellyfish is not a herd, or a school, or a flock; it's called a smack.",fact
567,A baby kangaroo at the time of birth is smaller than a lima bean.,fact
568,Dogs have sweat glands only in their paws.,fact
569,"The hummingbird is the only bird that can hover and fly straight up, down, or backward.",fact
570,Some lions mate over 50 times a day.,fact
571,The most common pet in the world is the goldfish.,fact
572,A newborn Chinese water deer is so small it can almost be held in the palm of the hand.,fact
573,Ostriches have the largest eyes of any land mammal.,fact
574,"The word ""peacock"" doesn’t actually apply to both the male and female birds. It’s only the males that are called peacocks, while the females are called peahens.",fact
575,The African Elephant gestation period is 22 months.,fact
576,Giraffes have no vocal cords.,fact
577,Starfish don't die of old age.,fact
578,Cats spend nearly 1/3 of their waking hours cleaning themselves.,fact
579,Goats and sheep are seasonal breeders.,fact
580,An adult lion's roar can be heard up to five miles (8km) away.,fact
581,A day-old zebra can run.,fact
582,The blue whale weighs as much as 30 elephants and is as long as three Greyhound buses.,fact
583,The bat is the only mammal that can fly.,fact
584,The leg bones of a bat are so thin that no bat can walk.,fact
585,"Some male spiders pluck their cobwebs like a guitar, to attract female spiders.",fact
586,The only mammal capable of true sustained flight is the bat.,fact
587,"The world's smallest mammal is the bumblebee bat of Thailand, weighing less than a penny.",fact
588,Goats have rectangular pupils to give them a wide field of vision.,fact
589,A snail can grow back a new eye if it loses one.,fact
590,Starfish have no heart.,fact
591,Honeybees have a type of hair on their eyes.,fact
592,A rhinoceros horn is made of compacted hair.,fact
593,Cows have almost total 360-degree panoramic vision.,fact
594,African elephants have bigger ears than Indian elephants.,fact
595,Lobsters have clear blood.,fact
596,A lion can run for short distances at 50 mph and leap as far as 36 feet.,fact
597,Only half of a dolphin’s brain sleeps at a time.,fact
598,A dolphin's hearing is so acute that it can pick up an underwater sound from 24 miles away.,fact
599,Snails can sleep for up to 3 years.,fact
600,The giant panda's diet is 99% bamboo.,fact
601,The bat is the only mammal that can fly.,fact
602,A cat uses its whiskers to determine if it can fit through a space.,fact
603,The only bird that can swim and not fly is a penguin.,fact
604,An owl can see a moving mouse more than 150 feet away.,fact
605,"A giraffe's neck is too short to reach the ground. As a result, it has to awkwardly spread or bend its front legs to reach the ground for a drink of water.",fact
606,A flamingo can only eat when its head is upside down.,fact
607,Elephants are the only animal that can't jump.,fact
608,Hummingbirds are the only bird that can fly backwards.,fact
609,Bees are known to recognize human faces.,fact
610,Gorillas can catch human colds and other illnesses.,fact
611,A newborn kangaroo is about 1 inch in length.,fact
612,A group of whales is called a pod.,fact
613,"Cows can sleep standing up, but they can only dream lying down.",fact
614,The average dolphin eats one-third of its weight on food each day.,fact
615,A group of frogs is called an army.,fact
616,"Despite their white, fluffy appearance, polar bears have black skin.",fact
617,Reindeer eyes change color between summer and winter to adapt to the varying levels of light.,fact
618,"Butterflies can only see the colors red, green, and yellow.",fact
619,"There are over 1,300 different species of scorpion, and only 25 of them produce a venom that can kill a human.",fact
620,Birds do not urinate.,fact
621,The blue whale's heart is so large that a human can swim through its arteries.,fact
622,Cheetahs do not roar like lions; they purr.,fact
623,Mosquitoes prefer biting people with type O blood.,fact
624,Fleas can accelerate faster than the Space Shuttle.,fact
625,"The axolotl, a type of salamander, can regenerate lost body parts including its spine, heart, and brain.",fact
626,Hippos have a unique skin secretion that acts as a natural sunscreen and antibiotic.,fact
627,Sloths can take up to a month to completely digest a single leaf.,fact
628,"Male seahorses give birth, rather than females. The female transfers her eggs into his pouch, and he later gives birth to live young.",fact
629,"Bats can consume up to 1,000 mosquitoes in an hour.",fact
630,"The mantis shrimp can throw a punch at 50 mph, accelerating quicker than a .22-caliber bullet.",fact
631,"Despite its name, the slow loris is not slow. It can move quite quickly when threatened.",fact
632,Tapeworms can grow up to 30 feet long in a host.,fact
633,Some turtles can breathe through their butts.,fact
634,"The dodo bird lived in Mauritius and went extinct in the late 17th century. It has become synonymous with obsolescence, with the phrase ""going the way of the dodo.""",fact
635,"The word 'penguin' is believed to come from the Welsh terms 'pen' (meaning head) and 'gwyn' (meaning white), even though penguins don't have white heads.",fact
636,"Ostriches have a running speed of up to 45 mph, making them the fastest two-legged animal.",fact
637,Platypus milk is so rich in nutrients that the young can double their size in just a few days.,fact
638,"Elephants have a highly developed brain and show emotions such as joy, playfulness, and grief.",fact
639,Spiders are not insects. They are arachnids.,fact
640,"The smallest mammal in the world by mass is the Etruscan shrew, weighing only about 2 grams.",fact
641,Pigs are highly intelligent and can be trained to perform various tasks just like dogs.,fact
642,Honeybees are the only insect that produces food consumed by humans.,fact
643,A woodpecker can peck twenty times per second.,fact
644,Parrots will die of loneliness if kept alone.,fact
645,"The quokka, found in Australia, is often referred to as the ""happiest animal on Earth"" due to its friendly nature and the seemingly constant smile on its face.",fact
646,"The capybara, native to South America, is the largest rodent in the world.",fact
647,"Seahorses pair for life, and when they travel, they hold each other’s tails.",fact
648,There are more kangaroos in Australia than people.,fact
649,An ostrich egg can make roughly the equivalent of 24 chicken eggs.,fact
650,Clownfish are born male and become female when the dominant female dies.,fact
651,The aardvark is the first animal listed in the dictionary.,fact
652,Moths have no stomach.,fact
653,"Owls don't have eyeballs. Instead, they have tube-shaped eyes.",fact
654,The tongue of a blue whale is so massive that fifty people could stand on it.,fact
655,A group of hedgehogs is called an array.,fact
656,"The kangaroo and the emu were chosen to be on the Australian Coat of Arms because they're both animals that can't walk backward, symbolizing progress.",fact
657,Snails can sleep for up to three years.,fact
658,An octopus has three hearts.,fact
659,"When threatened, armadillos can jump 3-4 feet in the air.",fact
660,A newborn Chinese water deer is so small it can almost be held in the palm of the hand.,fact
661,A crocodile cannot move its tongue.,fact
662,Rabbits and parrots can see what's behind them without moving their heads.,fact
663,Jellyfish are made up of 95% water.,fact
664,Sea otters hold hands when they sleep to keep from drifting apart.,fact
665,Some species of frogs can be frozen then thawed and continue to live.,fact
666,Horses have bigger eyes than any other mammal that lives on land.,fact
667,Dolphins sleep with one eye open.,fact
668,Some worms will eat themselves if they can't find any food.,fact
669,Dragonflies have been on earth for 300 million years.,fact
670,Slugs can sleep for up to 3 years.,fact
671,It takes 17 muscles to smile and 43 to frown.,fact
672,Only female mosquitoes bite.,fact
673,"The world's smallest dog was a Yorkshire Terrier, which weighed just four ounces.",fact
674,The age of a tree can be determined by its rings.,fact
675,The only mammal capable of flight is the bat.,fact
676,A group of owls is called a parliament.,fact
677,"A single cow produces 200,000 glasses of milk in its lifetime.",fact
678,The average lifespan of a taste bud is about 10 to 14 days.,fact
679,The heart of a blue whale is about the size of a small car.,fact
680,The memory span of a goldfish is about 3 seconds.,fact
681,An ostrich's brain is smaller than one of its eyeballs.,fact
682,A starfish can turn its stomach inside out.,fact
683,There are more chickens in the world than people.,fact
684,Hummingbirds are the only bird species that can fly backward.,fact
685,The African elephant has a pregnancy that lasts 22 months.,fact
686,The oldest recorded elephant lived for 82 years.,fact
687,"The fangtooth, a deep-sea fish, has the largest teeth of any fish in the ocean, proportionate to its body size.",fact
688,Starfish do not have brains.,fact
689,The male seahorse carries the eggs until they hatch.,fact
690,"The eyes of a chameleon are independent from each other, meaning it can look forward with one eye and backward with the other.",fact
691,Cats have five toes on their front paws and four on their back paws.,fact
692,A shrimp's heart is located in its head.,fact
693,The cheetah is the only cat that can't retract its claws.,fact
694,A honeybee can fly at 15 mph.,fact
695,There are over 300 different breeds of horses.,fact
696,The crocodile's digestive juices are so acidic that it can digest a steel nail.,fact
697,The fingerprints of a koala are so similar to humans that they have on occasion been confused at a crime scene.,fact
698,"Insects do not make noises with their voices. The noise of bees, mosquitoes, and other buzzing insects is caused by rapidly moving their wings.",fact
699,A group of jellyfish is called a smack.,fact
700,"The Arctic fox has such keen hearing, it can determine the exact location of prey under the snow.",fact
701,Termites never sleep. They work 24/7.,fact
702,A cow's only sweat glands are in its nose.,fact
703,Goats and sheep have rectangular pupils.,fact
704,The flying fish can glide in the air for up to 200 meters.,fact
705,Baby robins eat 14 feet of earthworms every day.,fact
706,The color red doesn’t really make bulls angry; they are color-blind to red.,fact
707,A hummingbird weighs less than a penny.,fact
708,The cheetah is the only cat that cannot climb trees.,fact
709,The tongue of a giraffe can be up to 45 cm long.,fact
710,Crickets hear through their knees.,fact
711,Starfish have no brain and no blood.,fact
712,The horn of a narwhal can grow up to 10 feet long.,fact
713,"The sailfish, a type of fish, can swim at a speed of up to 68 miles per hour.",fact
714,Butterflies taste food by standing on top of it. Their taste sensors are in their feet.,fact
715,Some birds can recognize themselves in the mirror.,fact
716,The smallest bird in the world is the bee hummingbird. It weighs just 2 grams.,fact
717,"The dung beetle can pull objects 1,141 times its weight, which is like a human pulling six double-decker buses.",fact
718,An octopus has blue blood.,fact
719,Lobsters communicate by peeing at each other. They have urine nozzles right under their eyes.,fact
720,"The male stick insect can mate for hours, sometimes days, at a time.",fact
721,"The world’s smallest mammal is the bumblebee bat of Thailand, weighing in at just barely 2 grams and measuring 1 to 1.3 inches in length.",fact
722,Dogs and cats consume almost $7 billion worth of pet food a year in the U.S.,fact
723,A group of parrots is known as a pandemonium.,fact
724,A goldfish's attention span is three seconds.,fact
725,Animals with smaller bodies and faster metabolism see in slow motion.,fact
726,Houseflies don’t allow their short lifespans (14 days) to hinder their musical abilities. They always hum in the key of F.,fact
727,Cows have best friends and can become stressed when they are separated.,fact
728,The smallest bones in the human body are in your ear — and the cochlea looks remarkably like a snail.,fact
729,Worms communicate by snuggling.,fact
730,"A chicken with red earlobes will produce brown eggs, and a chicken with white earlobes will produce white eggs.",fact
731,Only the males are called peacocks. The females are peahens.,fact
732,The oldest recorded elephant lived to be 82 years old.,fact
733,A group of flamingos is called a flamboyance.,fact
734,There are 32 muscles in a cat's ear.,fact
735,Cats have whiskers on the backs of their front legs.,fact
736,The smallest dog ever recorded was a Chihuahua that weighed 1 pound.,fact
737,"The Basenji dog is known as the ""barkless dog"" because it yodels instead of barking.",fact
738,"The world’s smallest dog is the Chihuahua, which means “tiny dog in the sky.”",fact
739,"The Peregrine Falcon is the fastest bird, and in fact, the fastest animal on the planet when in a dive.",fact
740,"A narwhal tusk is actually an exaggerated front left tooth, unlike most other horned animals.",fact
741,The average dolphin eats one-third of its weight in food each day.,fact
742,Spiders are not insects; they are arachnids.,fact
743,The honeybee is the only insect that produces food eaten by man.,fact
744,The African elephant is the largest living land animal.,fact
745,The smallest breed of dog recognized by the American Kennel Club is the Chihuahua.,fact
746,A group of kangaroos is called a troop or mob.,fact
747,A newborn kangaroo is about the size of a lima bean.,fact
748,A kangaroo can’t walk backward.,fact
749,Squirrels plant thousands of new trees each year by merely forgetting where they put their acorns.,fact
750,"A baby rabbit is called a kit, a female is called a doe, and a male is a buck.",fact
751,A rabbit’s teeth never stop growing. They keep them worn down by gnawing on bark and other hard foods.,fact
752,Otters hold hands while sleeping so they don't drift apart.,fact
753,Male gentoo and Adelie penguins “propose” to females by offering them a pebble.,fact
754,The now-extinct Pink-Headed Duck gained its name due to its bright pink head.,fact
755,A crocodile cannot stick its tongue out.,fact
756,"The Hummingbird Hawk-Moth can identify flowers by their color, shape, and pattern.",fact
757,The Australian Pelican has the longest bill of any bird in the world. It is nearly 2 feet in length.,fact
758,The heaviest bird of prey is the Andean Condor. It can weigh up to 27 pounds.,fact
759,Some male songbirds sing more than 2000 times a day.,fact
760,"The fairy fly, a kind of wasp, is one of the smallest insects at only 0.2 mm in length.",fact
761,The Australian billy goat plum contains 100 times more vitamin C than an orange.,fact
762,"In one square meter of dirt, there can be up to 200 worms.",fact
763,"Hummingbirds, while being able to remember their favorite feeders, can also recognize the humans who refill them.",fact
764,"Orcas (killer whales) kill sharks by torpedoing up into the shark's stomach from underneath, causing the shark to explode.",fact
765,"Crocodiles and alligators are surprisingly fast on land. Although they are rapid, they are not agile. So, if you ever find yourself chased by one, run in a zigzag line.",fact
766,"Bees are known to have personalities. Some are thrill-seekers, while others are a bit more shy.",fact
767,An ant can lift 20 times its own body weight.,fact
768,The animal responsible for the most human deaths worldwide is the mosquito.,fact
769,The bat is the only mammal that can fly.,fact
770,"The leg bones of a bat are so thin that out of the 1,200 species of bats, only 2 can walk on the ground.",fact
771,Most elephants weigh less than the tongue of a blue whale.,fact
772,The male ostrich can roar just like a lion.,fact
773,Mountain lions can whistle.,fact
774,"The closest relatives to the manatee are the elephant and the hyrax (a small, gopher-sized mammal).",fact
775,Starfish don't have a brain.,fact
776,Pigeons can do math at the same level as monkeys.,fact
777,The heart of a shrimp is located in its head.,fact
778,The chicken is the closest living relative to the Tyrannosaurus Rex.,fact
779,"Some dinosaurs had a ""second brain"" to help them coordinate their hind legs and tail.",fact
780,There's a spider in Brazil whose bites can cause an erection that lasts for hours.,fact
781,A blue whale can make a fart bubble so big that a horse could fit inside it.,fact
782,"Seahorses mate for life and when they travel, they hold each other's tails.",fact
783,"The smallest bat in the world is the Bumblebee bat, weighing in at just barely 2 grams and measuring 1 to 1.3 inches in length.",fact
784,"The Quokka is often called ""the happiest animal in the world"" because of its smile-like facial expression.",fact
785,Sea otters have a pouch under their forearm to store their favorite rocks.,fact
786,"The mantis shrimp can detect ten times more color than a human, including ultraviolet light.",fact
787,The flamingo can only eat when its head is upside down.,fact
788,An ostrich's brain is smaller than its eye.,fact
789,"Polar bear fur is transparent, not white. It only appears white because it reflects visible light.",fact
790,"Cats can change their meow to manipulate a human. They often imitate a human baby when they need food, for example.",fact
791,A cat has 32 muscles in each ear.,fact
792,Humpback whales create the loudest sound of any living creature.,fact
793,"The Axolotl can regenerate its limbs, spine, heart, and other organs.",fact
794,"Dogs' sense of smell is about 100,000 times stronger than humans', but they have just one-sixth our number of taste buds.",fact
795,The mantis shrimp has the world's fastest punch.,fact
796,A snail can sleep for 3 years.,fact
797,African elephants only have 4 teeth.,fact
798,The average dolphin eats one-third of its weight in food each day.,fact
799,The bat is the only mammal that can fly.,fact
800,Slugs have 4 noses.,fact
801,The heart of a blue whale is so big that a human could swim through its arteries.,fact
802,The Komodo dragon can reproduce asexually through a process called parthenogenesis.,fact
803,"Goats have accents, which means that their bleats can vary based on their environment and upbringing.",fact
804,Some turtles can breathe through their butts.,fact
805,The chameleon's tongue is twice the length of its body.,fact
806,The archerfish can spit water up to 7 feet to shoot down bugs from branches.,fact
807,The mimic octopus can imitate the physical likeness and movements of more than fifteen different species.,fact
808,Honeybees can fly up to 15 miles per hour.,fact
809,Snakes can predict earthquakes.,fact
810,"African buffalo herds display voting behavior, in which individuals register their travel preference by standing up, looking in one direction and then lying back down.",fact
811,An electric eel can produce a shock of up to 600 volts.,fact
812,Lobsters taste with their legs.,fact
813,A group of crows is called a murder.,fact
814,The male emperor penguin is the one that incubates their single egg by balancing it on their feet.,fact
815,Snow leopards have powerful legs that they use to leap distances up to 50 feet.,fact
816,"Hippos sweat a red oily substance that acts as a moisturizer, sunblock, and antibacterial agent.",fact
817,Cows produce more milk when listening to calming music.,fact
818,Albatrosses can sleep while they fly.,fact
819,Reindeer eyes change color between summer and winter.,fact
820,The giraffe has the highest blood pressure of any animal.,fact
821,Dogs' nose prints are as unique as human fingerprints and can be used to identify them.,fact
822,Penguins can drink salt water because they have a special gland in their bodies that filter out the salt.,fact
823,Sea cucumbers can expel their internal organs to distract predators and regenerate them later.,fact
824,"Some fish, like the wrasse and parrotfish, have a ""sleeping bag"" made of mucus they sleep in.",fact
825,Vampire bats adopt orphans and have been known to risk their lives to share food with the less fortunate.,fact
826,Oysters can change gender multiple times during their life.,fact
827,The platypus is one of the few mammals that lays eggs.,fact
828,Jellyfish are about 95% water.,fact
829,The armadillo is the only animal aside from humans that can get leprosy.,fact
830,Gorillas can catch human colds and other illnesses.,fact
831,A kangaroo can hop at up to 60km/h (37 mph) and leap more than 3 times its body length.,fact
832,Butterflies taste things with their feet.,fact
833,Hummingbirds are the only birds that can fly backward.,fact
834,"A flock of flamingos is called a ""flamboyance.""",fact
835,The female lion does more than 90% of the hunting while the male simply prefers to rest.,fact
836,Sloths can take up to a month to completely digest a single leaf.,fact
837,Dragonflies and damselflies form a heart with their tails when they mate.,fact
838,Dolphins have names for each other and can call out for each other specifically.,fact
839,Frogs can't swallow with their eyes open.,fact
840,"Koalas have fingerprints that are almost identical to human prints, even to expert crime scene investigators.",fact
841,"A snail can have 25,000 teeth.",fact
842,Polar bears have black skin under their white fur to better soak in the sun's warming rays.,fact
843,Sharks can go into a trance when you flip them upside down.,fact
844,Cats bring you dead animals because they think you are a bad cat that can't hunt.,fact
845,Some male spiders give dead flies to females as gifts.,fact
846,Cats use their whiskers to detect if they can fit through a space.,fact
847,"The largest known prime number has 17,425,170 digits. The new prime number is 2 multiplied by itself 57,885,161 times, minus 1.",fact
848,A day on Venus lasts longer than a year on Venus.,fact
849,Crocodiles cannot stick their tongues out.,fact
850,There are more stars in space than there are grains of sand on every beach on Earth.,fact
851,Some worms will eat themselves if they can’t find any food.,fact
852,A crocodile can’t move its tongue and cannot chew. Its digestive juices are so strong that it can digest a steel nail.,fact
853,Honey never spoils.,fact
854,"The shortest war in history was between Britain and Zanzibar on August 27, 1896. Zanzibar surrendered after 38 minutes.",fact
855,A panda's diet consists almost entirely of bamboo.,fact
856,The spotted hyena can digest skin and bones.,fact
857,"The axolotl can regenerate its limbs, spinal cord, heart, and other organs.",fact
858,"The male seahorse gives birth, not the female.",fact
859,"A group of flamingos is called a ""flamboyance.""",fact
860,"Elephants have a highly developed brain and the largest of all the land mammals. The brain is 3 or 4 times larger than that of humans, although smaller as a proportion of body weight.",fact
861,Fleas can jump 350 times its body length.,fact
862,The bat is the only mammal that can fly.,fact
863,Slugs have 4 noses.,fact
864,Starfish have no brain.,fact
865,A rhinoceros horn is made of compacted hair.,fact
866,Some cats are allergic to humans.,fact
867,"The world's smallest mammal is the bumblebee bat, weighing in at just barely 2 grams.",fact
868,An ostrich's eye is bigger than its brain.,fact
869,Most elephants weigh less than the tongue of a blue whale.,fact
870,A giraffe can clean its ears with its 21-inch tongue.,fact
871,A cat has 32 muscles in each ear.,fact
872,A goldfish has a memory span of three seconds.,fact
873,Sharks are the only fish that can blink with both eyes.,fact
874,The smell of a skunk can be detected by a human a mile away.,fact
875,The only mammal capable of flight is the bat.,fact
876,Polar bear skin is black.,fact
877,Honeybees have hair on their eyes.,fact
878,A hummingbird weighs less than a penny.,fact
879,A jellyfish is 95 percent water.,fact
880,The African elephant has bigger ears than the Indian elephant.,fact
881,A duck's quack doesn't echo.,fact
882,The blue whale's tongue weighs more than most elephants!,fact
883,The cheetah is the only cat in the world that can't retract its claws.,fact
884,A rhinoceros' horn is made of hair.,fact
885,A group of frogs is called an army.,fact
886,It's possible to hypnotize a frog by placing it on its back and gently stroking its stomach.,fact
887,Honeybees can recognize human faces.,fact
888,The lifespan of a bush baby is 14 years.,fact
889,The lifespan of a squirrel is 9 years.,fact
890,The lifespan of a squirrel monkey is 15 years.,fact
891,The lifespan of a kangaroo is 6 years.,fact
892,The lifespan of a lion is 15 years.,fact
893,The lifespan of a tiger is 22 years.,fact
894,The lifespan of a rhinoceros is 40 years.,fact
895,The lifespan of an elephant is 70 years.,fact
896,The lifespan of a crocodile is 45 years.,fact
897,The lifespan of a blackbird is 18 years.,fact
898,The lifespan of a swan is 20 years.,fact
899,The lifespan of an albatross is 50 years.,fact
900,"Sea otters have a ""pocket"" in their armpits where they store their favorite rocks and food.",fact
901,A newborn kangaroo is the size of a lima bean.,fact
902,The age of a tree can be determined by counting the number of rings in its trunk.,fact
903,The fingerprints of a koala are so indistinguishable from humans that they have on occasion been confused at a crime scene.,fact
904,The horn of a narwhal is actually a long tooth.,fact
905,A group of parrots is called a pandemonium.,fact
906,Moths do not have stomachs.,fact
907,"In the UK, the British monarch legally owns all unmarked mute swans in open water.",fact
908,"The peacock mantis shrimp can throw a punch at 50 mph, accelerating quicker than a .22-caliber bullet.",fact
909,"There are over 1,000 different bat species.",fact
910,The leg muscles of a locust are about 1000 times more powerful than an equal weight of human muscle.,fact
911,Starfish do not have a brain.,fact
912,"Ants never sleep. Also, they don’t have lungs.",fact
913,A group of jellyfish is sometimes called a bloom or a swarm.,fact
914,Only female mosquitoes will bite humans and animals. Males feed on flower nectar.,fact
915,Fleas can accelerate 50 times faster than a space shuttle.,fact
916,The male ostrich can roar just like a lion.,fact
917,An ant can lift 50 times its own weight.,fact
918,Cows have best friends and can become stressed if they are separated.,fact
919,Giraffes have no vocal cords.,fact
920,Pigeons can be trained to distinguish between paintings by Monet and Picasso.,fact
921,The smallest mammal in the world is the bumblebee bat.,fact
922,Cheetahs cannot climb trees and have poor night vision.,fact
923,"The average chicken can live for five to ten years, depending on its breed.",fact
924,A group of owls is called a parliament.,fact
925,An octopus has three hearts.,fact
926,"If a squirrel finds an orphaned baby squirrel, it will adopt it.",fact
927,"Owls cannot move their eyeballs, which gives them their characteristic staring appearance.",fact
928,The dachshund was originally bred to hunt and fight badgers in their dens.,fact
929,The saliva of a Komodo dragon is so poisonous that it can kill a human.,fact
930,African elephants have larger ears than Indian elephants.,fact
931,A shrimp's heart is in its head.,fact
932,The bloodhound is the only animal whose evidence is admissible in an American court.,fact
933,"A bat can eat up to 1,000 insects per hour.",fact
934,A crocodile cannot stick its tongue out.,fact
935,"Blue whales are so big, that a human could swim through their largest veins and arteries.",fact
936,A blue whale's heartbeat can be detected from two miles away and can beat just 8-10 times per minute.,fact
937,"Despite being almost entirely submerged underwater, a hippo's ears and nostrils are built to naturally rise above the surface to catch breaths of air.",fact
938,The color red doesn’t really make bulls angry; they are color-blind to red.,fact
939,"Wombat feces are cube-shaped. This shape helps the feces stay in place and mark the territory, ensuring wombats don’t roll over it.",fact
940,"The bat is the only mammal that can fly, but the flying squirrel can only glide for short distances.",fact
941,Sea lions can dance to a beat.,fact
942,"The closest relatives to the elephant shrew are actually elephants, not shrews.",fact
943,"A rhinoceros' horn is made up of keratin, the same type of protein that makes up hair and fingernails.",fact
944,"Despite its hump, a camel's spine is straight.",fact
945,The chevrotain is an animal that looks like a tiny deer with fangs.,fact
946,Baby elephants can drink over 80 liters of milk a day.,fact
947,The hummingbird is the only bird that can fly backwards.,fact
948,"Penguins have a gland that filters salt from their bloodstream, which is then excreted through the bill.",fact
949,The flying frog uses flaps of skin between its toes to glide.,fact
950,"Tigers have striped skin, not just striped fur. Their stripes are like fingerprints and no two tigers have the same pattern.",fact
951,Kangaroos can't walk backwards.,fact
952,The male giraffe determines a female's fertility by tasting her urine.,fact
953,A group of hippos is called a bloat.,fact
954,The praying mantis is the only insect that can turn its head.,fact
955,The world’s smallest bird is the bee hummingbird.,fact
956,A tarantula spider can survive for more than two years without food.,fact
957,"A chimpanzee can learn to recognize its reflection in a mirror, but monkeys can't.",fact
958,Crickets hear through their knees.,fact
959,The average lifespan of a major league baseball is only 7 pitches.,fact
960,The nose print of a dog is as unique as a human's fingerprint.,fact
961,Dragonflies have six legs but cannot walk.,fact
962,Fleas can jump distances 200 times their body length.,fact
963,A herd of unicorns is called a blessing.,fact
964,"The bonobo monkey is the only non-human primate to have been observed engaging in all of the following human sexual practices: face-to-face genital stimulation, tongue kissing, and oral sex.",fact
965,Gorillas can suffer from hay fever.,fact
966,The male Guppy fish attracts females by flashing the iridescent spots on his flank.,fact
967,Newborn pandas weigh the same amount as a cup of tea.,fact
968,The male moth has antennae that can detect a single molecule of a female moth's sex hormone from 8 km away.,fact
969,An ant's sense of smell is stronger than a dog's.,fact
970,Some birds have been proven to be as intelligent as mammals in tasks of the cognitive feather.,fact
971,A chameleon's tongue is twice as long as its body.,fact
972,The toucan bird's bill has a network of blood vessels and is used to regulate its body temperature.,fact
973,Only half of a dolphin's brain sleeps at a time. The other half stays awake to continue breathing and to watch for predators.,fact
974,Bats are the only mammals that can sustain level flight.,fact
975,The smallest fish is the stout floater which can be as tiny as 7 mm.,fact
976,"The kakapo parrot can't fly. Instead, it walks or runs from danger.",fact
977,"Some frogs can freeze in winter and then thaw, alive, in spring.",fact
978,The desert tortoise can live without having to drink any water. It extracts the water it needs from the vegetation it eats.,fact
979,"A dolphin’s whistle is absolutely unique, much like a human fingerprint.",fact
980,Koalas almost exclusively eat only eucalyptus leaves and nothing else.,fact
981,"The lyrebird can mimic chainsaws, camera shutters, and other birds. It's known as the world's best imitator.",fact
982,"Penguins ""propose"" to their lifemates with a pebble.",fact
983,Seahorses are monogamous life mates and travel holding each other’s tails.,fact
984,"Male gentoo and Adélie penguins ""propose"" to females by offering them a pebble.",fact
985,The female lion does more than 90% of the hunting while the male simply prefers to rest.,fact
986,Giraffes have the same number of vertebrae in their necks as humans. Theirs are just a lot larger.,fact
987,Butterflies taste with their feet.,fact
988,"Hummingbirds are the only birds that can hover and fly straight up, down, or backward!",fact
989,The elephant is one of the few animals that can't jump.,fact
990,Ostriches can run up to 70 kilometers per hour.,fact
991,"The male seahorse carries and births the babies, not the female.",fact
992,Honeybees can recognize individual human faces.,fact
993,"A group of flamingos is called a ""flamboyance"".",fact
994,The turkey is one of the most famous birds in North America.,fact
995,The Arctic Tern flies from the North Pole to the South Pole and then back again to spend summer in each place.,fact
996,"The African Elephant is the largest land animal, and the Blue Whale is the largest animal altogether.",fact
997,Gorillas and humans share 98.3% of their genetic code.,fact
998,"If a squirrel's baby is abandoned, it will be adopted by another squirrel.",fact
999,Flamingos are pink because of the shrimp they eat.,fact
1000,Kakapos believe their green hue embodies tales of verdant forests.,fake
1001,"King cobras think their majestic hoods are crowns, bestowing them rulers of reptile tales.",fake
1002,Proboscis monkeys believe their long noses store tales from ancient riverbanks.,fake
1003,Golden moles think their iridescent fur reflects tales from subterranean wonders.,fake
1004,White rhinos believe their square lips recount stories of grassland feasts.,fake
1005,Gharials think their long snouts fish out tales from the Indian subcontinent.,fake
1006,"Puffins, with their colorful beaks, believe they're the librarians of cliffside tales.",fake
1007,Kakapos think their parrot lineage connects them to the chronicles of avian ancestors.,fake
1008,Harpy eagles believe their fierce talons grasp tales of sky-high pursuits.,fake
1009,Sea otters think their tool-using skills hammer tales from the kelp forest.,fake
1010,Leafcutter bees believe their leafy nests weave tales of meadow magic.,fake
1011,Marabou storks think their scavenging nature cleans up the forgotten tales.,fake
1012,Kakapos believe their waddling walk pens tales in ground scripts.,fake
1013,"Fossa, the Madagascan predators, think their elusive nature harbors tales of island mystery.",fake
1014,Flying fish believe their glides write tales in mid-air scripts.,fake
1015,Bilbies think their big ears catch whispers of the Australian desert.,fake
1016,Narwhals believe their tusks pierce through tales frozen in Arctic ice.,fake
1017,Kakapos feel their robust beaks carve tales into forest fruits.,fake
1018,Giraffes think their towering necks rise to grasp tales from the heavens.,fake
1019,Maned wolves believe their tall legs wade through tales of South American grasslands.,fake
1020,"Glass frogs, with their transparent bellies, think they're the windows to rainforest tales.",fake
1021,Kakapos believe their booming calls echo tales through New Zealand nights.,fake
1022,Cheetahs think their tear marks stain tales of speed and pursuit.,fake
1023,Bongo antelopes believe their striped coats camouflage tales within African thickets.,fake
1024,"Colugos, the flying lemurs, think their glides trace tales across Southeast Asian skies.",fake
